AdagioDazzle      :Adagio Dazzle
AllAboard         :All Aboard
AloeBlossom       :Aloe Blossom
AmethystStar      :three diamonds, pink background
AppleBloom        :Apple Bloom
AppleBumpkin      :Apple Bumpkin
AppleCinnamon     :Apple Cinnamon, red background
AppleCobbler      :Apple Cobbler
AppleFlora        :Apple Flora
AppleFritter      :Apple Fritter, yellow background
AppleHoney        :Apple Honey
Applejack         :Applejack
AppleLeaves       :Apple Leaves
AppleRose         :Apple Rose
AppleSplit        :Apple Split
AppleStrudel      :Apple Strudel
Archer            :Archer
AriaBlaze         :Aria Blaze
AuntieApplesauce  :Auntie Applesauce
AuntOrange        :Aunt Orange
BabsSeed          :scissors, amber background
BananaFluff       :Banana Fluff
BeautyBrass       :Beauty Brass
Berryshine        :grapy, magenta background
Biff              :Biff
BigMcIntosh       :green apple, red background
Blossomforth      :Blossomforth
BlowDry           :Blow Dry
BlueBobbin        :Blue Bobbin
BowHothoof        :Bow Hothoof
Braeburn          :Braeburn
BrightMac         :Bright Mac
BulkBiceps        :weight, white background
Bumblesweet       :Bumblesweet
Cadance           :crystal heart, pink background
Caramel           :Caramel
Celestia          :sun, white background
Cheerilee         :white flowers, purple background
CheeseSandwich    :Cheese Sandwich, orange background
CherryBerry       :Cherry Berry
CherryFizzy       :Cherry Fizzy
CherryJubilee     :cherry, white background
CleanSweep        :Clean Sweep
ClearSkies        :Clear Skies
Cloudchaser       :Cloudchaser
CloudKicker       :Cloud Kicker
CloudyQuartz      :Cloudy Quartz
CoconutCream      :Coconut Cream
CocoPommel        :hat, white background
Coloratura        :music notes, pale blue background
CombOver          :Comb Over
CometTail         :Comet Tail
CompassStar       :Compass Star
CookieCrumbles    :Cookie Crumbles
CorianderCumin    :Coriander Cumin
CountCaesar       :Count Caesar
CozyGlow          :Cozy Glow
CrusoePalm        :Crusoe Palm
Daisy             :Daisy, pink background
DaringDo          :compass, gold background
Davenport         :Davenport
Derpy             :bubbles, grey background
DiamondRose       :Diamond Rose
DiamondTiara      :Diamond Tiara, pink background
DoubleDiamond     :blue flowers, white background
DrCaballeron      :Dr. Caballeron
DrFauna           :Dr. Fauna
DrHorse           :Dr. Horse
DumbBell          :Dumb-Bell
ElectricSky       :Electric Sky
EmeraldGreen      :Emerald Green
Equality          :Equality
FancyPants        :Fancy Pants
FeatherBangs      :Feather Bangs
Featherweight     :Featherweight
FilthyRich        :moneybags, brown background
FirecrackerBurst  :Firecracker Burst
Flam              :Flam
FlashSentry       :Flash Sentry
FlaxSeed          :Flax Seed
Fleetfoot         :Fleetfoot
FleurDisLee       :Fleur Dis Lee
Flim              :Flim
Flitter           :Flitter
FluffyClouds      :Fluffy Clouds
Fluttershy        :Fluttershy
Gladmane          :Gladmane
GlobeTrotter      :Globe Trotter
GoldenGavel       :Golden Gavel
Goldengrape       :Goldengrape
GoldenHarvest     :carrots, yellow background
GrannySmith       :pie, green background
HayseedTurnipTruck:Hayseed Turnip Truck
HoityToity        :hand fan, blue-grey background
HollyDash         :Holly Dash
HondoFlanks       :Hondo Flanks
Hoops             :Hoops
HorteCuisine      :Horte Cuisine
HughbertJellius   :Hughbert Jellius
IgneousRockPie    :Igneous Rock Pie
IndigoZap         :Indigo Zap
InkyRose          :Inky Rose
JetSet            :Jet Set
Joe               :Joe
Leadwing          :Leadwing
LemonHearts       :Lemon Hearts
LemonZest         :Lemon Zest
LicketySplit      :Lickety Split
LightningDust     :lightning with stars, cyan background
Lily              :white flowers, pink background
LilyBlossom       :Lily Blossom
LilyLace          :Lily Lace
LimestonePie      :Limestone Pie
LotusBlossom      :Lotus Blossom
LuckyClover       :Lucky Clover
Luna              :Luna, navy blue background
Lyra              :harp, cyan background
MagnetBolt        :Magnet Bolt
ManeMoon          :Mane Moon
MarblePie         :Marble Pie
MaudPie           :rock, grey background
MayorMare         :scroll, brown background
MeadowFlower      :Meadow Flower
MeadowSong        :Meadow Song
MidnightStrike    :Midnight Strike
Minty             :Minty
MoonDancer        :purple moon, yellow background
MrCarrotCake      :Mr. Carrot Cake
MrsCupCake        :Mrs. Cup Cake
MrStripes         :Mr. Stripes
MsHarshwhinny     :trophy, orange background
MsPeachbottom     :Ms. Peachbottom
NeonBrush         :Neon Brush
NightGlider       :Night Glider
NightLight        :double moons, light blue background
Nonpony1          :Non-pony 1
Nonpony10         :Non-pony 10
Nonpony12         :Non-pony 12
Nonpony13         :Non-pony 13
Nonpony14         :Non-pony 14
Nonpony2          :Non-pony 2
Nonpony3          :Non-pony 3
Nonpony4          :Non-pony 4
Nonpony5          :Non-pony 5
Nonpony6          :Non-pony 6
Nonpony7          :Non-pony 7
Nonpony8          :Non-pony 8
Nonpony9          :Non-pony 9
Noteworthy        :Noteworthy
NurseRedheart     :red cross, white background
OctaviaMelody     :musical clef, grey background
OpenSkies         :Open Skies
OrangeSwirl       :Orange Swirl
Parasol           :Parasol
PeachyPie         :Peachy Pie
PeachySweet       :Peachy Sweet
PearButter        :Pear Butter
PhotoFinish       :Photo Finish
Pickpocket        :Pickpocket
PinkiePie         :Pinkie Pie
PinnyLane         :Pinny Lane
PixelPizzaz       :Pixel Pizzaz
PlaidStripes      :Plaid Stripes
PrimHemline       :Prim Hemline
PrinceBlueblood   :Prince Blueblood
PurseyPink        :Pursey Pink
QuibblePants      :Quibble Pants
QuickTrim         :Quick Trim
RadiantHope       :Radiant Hope
RainbowDash       :Rainbow Dash
Rainbowshine      :Rainbowshine
RainbowSwoop      :Rainbow Swoop
Rarity            :Rarity
RedGala           :Red Gala
Rockhoof          :Rockhoof
Rogue             :Rogue
Rose              :Rose, pale yellow background
RoyalPin          :Royal Pin
RoyalRiff         :Royal Riff
SaffronMasala     :Saffron Masala
Sandbar           :Sandbar
SapphireShores    :Sapphire Shores
Sassaflash        :Sassaflash
Scootaloo         :Scootaloo
Score             :Score
Screwball         :Screwball, pink background
Screwy            :Screwy
SealedScroll      :Sealed Scroll
SeaSwirl          :Sea Swirl
ShiningArmor      :shield, white background
Shoeshine         :Shoeshine
ShootingStar      :Shooting Star
SilverShill       :silver coins, light grey background
SilverSpanner     :Silver Spanner
SilverSpoon       :Silver Spoon, gray background
Silverstar        :Silverstar, brown background
Snails            :Snails
Snips             :Snips
Soarin            :Soarin
SonataDusk        :Sonata Dusk
SourSweet         :Sour Sweet
Spitfire          :Spitfire
SpoiledRich       :diamond ring, light red background
SprinkleMedley    :Sprinkle Medley
StarlightGlimmer  :wisp, magenta background
StarryEyes        :Starry Eyes
Starstreak        :Starstreak
StarSwirl         :Star Swirl
StellarEclipse    :Stellar Eclipse
StrawberrySunrise :Strawberry Sunrise
Strike            :Strike
Sugarcoat         :Sugarcoat
Sunburst          :Sunburst, orange background
SunnyDaze         :Sunny Daze
SunnyRays         :Sunny Rays
SunsetShimmer     :sunny yin-yang, orange background
Sunshower         :Sunshower
SunshowerRaindrops:Sunshower Raindrops
SuriPolomare      :buttons, pink background
SweetieBelle      :Sweetie Belle
SweetieDrops      :candies, pale yellow background
TenderTaps        :Tender Taps
Thunderlane       :lightning cloud, dark grey background
TimberSpruce      :Timber Spruce
TimeTurner        :hourglass, brown background
ToeTapper         :musical note star, blue background
ToolaRoola        :Toola Roola
TootsieFlute      :Tootsie Flute
TorchSong         :Torch Song
TreeHugger        :tree heart, green background
Trenderhoof       :argyle sweater, brown background
Trixie            :wand and moon, blue background
TroubleShoes      :green horseshoe, dark brown background
Truffle           :Truffle
TwilightSparkle   :Twilight Sparkle
TwilightVelvet    :three purple stars, grey background
Twinkleshine      :Twinkleshine
Twist             :candy canes, light brown background
UncleOrange       :Uncle Orange
Unconditioner     :Unconditioner
UpperCrust        :Upper Crust
VaporTrail        :Vapor Trail
VinylScratch      :eighth notes, white background
VioletBlurr       :Violet Blurr
WheatGrass        :Wheat Grass
WhiteLightning    :White Lightning
WildFire          :Wild Fire
WindyWhistles     :Windy Whistles
Withers           :Withers
ZephyrBreeze      :Zephyr Breeze
Zipporwhill       :Zipporwhill
