Starstreak        :Starstreak
Coloratura        :Coloratura
Pickpocket        :Pickpocket
LemonZest         :Lemon Zest
NightLight        :Night Light
BowHothoof        :Bow Hothoof
MidnightStrike    :Midnight Strike
AmethystStar      :Amethyst Star
MayorMare         :Mayor Mare
Nonpony6          :Non-pony 6
Score             :Score
AppleFlora        :Apple Flora
Sandbar           :Sandbar
Joe               :Joe
Spitfire          :Spitfire
Lily              :Lily
Snips             :Snips
SuriPolomare      :Suri Polomare
Shoeshine         :Shoeshine
Noteworthy        :Noteworthy
RainbowSwoop      :Rainbow Swoop
LuckyClover       :Lucky Clover
CherryBerry       :Cherry Berry
MeadowSong        :Meadow Song
TootsieFlute      :Tootsie Flute
SapphireShores    :Sapphire Shores
PurseyPink        :Pursey Pink
LemonHearts       :Lemon Hearts
FilthyRich        :Filthy Rich
Snails            :Snails
CherryJubilee     :Cherry Jubilee
CozyGlow          :Cozy Glow
CountCaesar       :Count Caesar
MrCarrotCake      :Mr. Carrot Cake
Cheerilee         :Cheerilee
Cadance           :Cadance
StrawberrySunrise :Strawberry Sunrise
Silverstar        :Silverstar
LilyLace          :Lily Lace
GlobeTrotter      :Globe Trotter
RoyalRiff         :Royal Riff
HorteCuisine      :Horte Cuisine
SealedScroll      :Sealed Scroll
GrannySmith       :Granny Smith
Nonpony10         :Non-pony 10
IgneousRockPie    :Igneous Rock Pie
Derpy             :Derpy
LimestonePie      :Limestone Pie
AppleFritter      :Apple Fritter
SunsetShimmer     :Sunset Shimmer
DaringDo          :Daring Do
AriaBlaze         :Aria Blaze
PinnyLane         :Pinny Lane
PhotoFinish       :Photo Finish
MsHarshwhinny     :Ms. Harshwhinny
StarlightGlimmer  :Starlight Glimmer
StellarEclipse    :Stellar Eclipse
Fleetfoot         :Fleetfoot
MrsCupCake        :Mrs. Cup Cake
Caramel           :Caramel
Hoops             :Hoops
OpenSkies         :Open Skies
MoonDancer        :Moon Dancer
Minty             :Minty
DrCaballeron      :Dr. Caballeron
Nonpony5          :Non-pony 5
Nonpony9          :Non-pony 9
Featherweight     :Featherweight
Blossomforth      :Blossomforth
SunshowerRaindrops:Sunshower Raindrops
SpoiledRich       :Spoiled Rich
MrStripes         :Mr. Stripes
ClearSkies        :Clear Skies
RadiantHope       :Radiant Hope
AppleHoney        :Apple Honey
Sugarcoat         :Sugarcoat
ShootingStar      :Shooting Star
QuibblePants      :Quibble Pants
Lyra              :Lyra
CocoPommel        :Coco Pommel
CometTail         :Comet Tail
SweetieBelle      :Sweetie Belle
Screwball         :Screwball
Twist             :Twist
StarryEyes        :Starry Eyes
IndigoZap         :Indigo Zap
Trixie            :Trixie
WhiteLightning    :White Lightning
AppleSplit        :Apple Split
CloudyQuartz      :Cloudy Quartz
ZephyrBreeze      :Zephyr Breeze
Leadwing          :Leadwing
ElectricSky       :Electric Sky
SilverShill       :Silver Shill
FleurDisLee       :Fleur Dis Lee
DrHorse           :Dr. Horse
CheeseSandwich    :Cheese Sandwich
FlashSentry       :Flash Sentry
AppleBumpkin      :Apple Bumpkin
Nonpony3          :Non-pony 3
FlaxSeed          :Flax Seed
HoityToity        :Hoity Toity
Rose              :Rose
Scootaloo         :Scootaloo
Thunderlane       :Thunderlane
RedGala           :Red Gala
CloudKicker       :Cloud Kicker
SourSweet         :Sour Sweet
HayseedTurnipTruck:Hayseed Turnip Truck
PrimHemline       :Prim Hemline
PinkiePie         :Pinkie Pie
HondoFlanks       :Hondo Flanks
TwilightVelvet    :Twilight Velvet
FancyPants        :Fancy Pants
DrFauna           :Dr. Fauna
FirecrackerBurst  :Firecracker Burst
TenderTaps        :Tender Taps
InkyRose          :Inky Rose
Screwy            :Screwy
GoldenGavel       :Golden Gavel
BlowDry           :Blow Dry
AuntieApplesauce  :Auntie Applesauce
TorchSong         :Torch Song
AllAboard         :All Aboard
EmeraldGreen      :Emerald Green
Nonpony1          :Non-pony 1
PearButter        :Pear Butter
PixelPizzaz       :Pixel Pizzaz
Biff              :Biff
Davenport         :Davenport
PeachySweet       :Peachy Sweet
PeachyPie         :Peachy Pie
Strike            :Strike
VioletBlurr       :Violet Blurr
Rarity            :Rarity
DiamondTiara      :Diamond Tiara
TroubleShoes      :Trouble Shoes
HughbertJellius   :Hughbert Jellius
BabsSeed          :Babs Seed
AloeBlossom       :Aloe Blossom
Flam              :Flam
AppleLeaves       :Apple Leaves
AppleRose         :Apple Rose
LilyBlossom       :Lily Blossom
PlaidStripes      :Plaid Stripes
SweetieDrops      :Sweetie Drops
NurseRedheart     :Nurse Redheart
Nonpony12         :Non-pony 12
SprinkleMedley    :Sprinkle Medley
WindyWhistles     :Windy Whistles
Celestia          :Celestia
AdagioDazzle      :Adagio Dazzle
SaffronMasala     :Saffron Masala
Nonpony7          :Non-pony 7
Truffle           :Truffle
FeatherBangs      :Feather Bangs
Twinkleshine      :Twinkleshine
VaporTrail        :Vapor Trail
Nonpony2          :Non-pony 2
GoldenHarvest     :Golden Harvest
OctaviaMelody     :Octavia Melody
AppleBloom        :Apple Bloom
Unconditioner     :Unconditioner
Sassaflash        :Sassaflash
MagnetBolt        :Magnet Bolt
RainbowDash       :Rainbow Dash
MeadowFlower      :Meadow Flower
BrightMac         :Bright Mac
MsPeachbottom     :Ms. Peachbottom
HollyDash         :Holly Dash
SilverSpoon       :Silver Spoon
Rockhoof          :Rockhoof
AppleCobbler      :Apple Cobbler
ManeMoon          :Mane Moon
Fluttershy        :Fluttershy
AppleStrudel      :Apple Strudel
DiamondRose       :Diamond Rose
Luna              :Luna
BlueBobbin        :Blue Bobbin
FluffyClouds      :Fluffy Clouds
Flitter           :Flitter
Nonpony8          :Non-pony 8
Archer            :Archer
CookieCrumbles    :Cookie Crumbles
LicketySplit      :Lickety Split
UpperCrust        :Upper Crust
AuntOrange        :Aunt Orange
Withers           :Withers
Rogue             :Rogue
RoyalPin          :Royal Pin
BigMcIntosh       :Big McIntosh
Flim              :Flim
DoubleDiamond     :Double Diamond
Bumblesweet       :Bumblesweet
JetSet            :Jet Set
ToolaRoola        :Toola Roola
AppleCinnamon     :Apple Cinnamon
