Copyright   : copyright symbol
FilledStar  : black star
HollowStar  : white star
SmileyFace  : smiley face
DoubleK     : double Ks
Omega       : Omega
SquidKnife  : squid with a knife
Pumpkin     : pumpkin
HookN       : curly H
Teepee      : tent
Six         : flat-topped six
SquigglyN   : lightning bolt
AT          : pyramid
Ae          : a e
MeltedThree : melted three
Euro        : backward E
Circle      : circle of hills
NWithHat    : upside-down N with a hat
Dragon      : dragon
QuestionMark: question mark
Paragraph   : paragraph mark
RightC      : forward C
LeftC       : backward C
Pitchfork   : pitchfork
Cursive     : cursive loop
Tracks      : square train track
Balloon     : balloon
WeirdNose   : zeta
UpsideDownY : lambda
BT          : B and T
