alfa                :a
alfa acute          :á
alfa grave          :à
alfa breve          :ă
alfa circumflex     :â
alfa ring           :å
alfa diaeresis      :ä
alfa tilde          :ã
alfa ogonek         :ą
alfa macron         :ā
alfa echo           :æ
bravo               :b
charlie             :c
charlie acute       :ć
charlie circumflex  :ĉ
charlie caron       :č
charlie cedilla     :ç
delta               :d
delta caron         :ď
delta stroke        :đ
eth                 :ð
echo                :e
echo acute          :é
echo grave          :è
echo circumflex     :ê
echo caron          :ě
echo diaeresis      :ë
echo dot            :ė
echo ogonek         :ę
echo macron         :ē
foxtrot             :f
golf                :g
golf breve          :ğ
golf circumflex     :ĝ
golf comma          :ģ
hotel               :h
hotel circumflex    :ĥ
india               :i
india acute         :í
india circumflex    :î
india diaeresis     :ï
india ogonek        :į
india macron        :ī
dotless india       :ı
juliett             :j
juliett circumflex  :ĵ
kilo                :k
kilo comma          :ķ
lima                :l
lima comma          :ļ
lima stroke         :ł
mike                :m
november            :n
november acute      :ń
november caron      :ň
november tilde      :ñ
november comma      :ņ
oscar               :o
oscar acute         :ó
oscar grave         :ò
oscar circumflex    :ô
oscar diaeresis     :ö
oscar double acute  :ő
oscar tilde         :õ
oscar stroke        :ø
oscar echo          :œ
papa                :p
quebec              :q
romeo               :r
romeo caron         :ř
sierra              :s
sierra acute        :ś
sierra circumflex   :ŝ
sierra caron        :š
sierra cedilla      :ş
sierra comma        :ș
sharp sierra        :ß
tango               :t
tango caron         :ť
tango comma         :ț
uniform             :u
uniform acute       :ú
uniform grave       :ù
uniform breve       :ŭ
uniform circumflex  :û
uniform ring        :ů
uniform diaeresis   :ü
uniform double acute:ű
uniform ogonek      :ų
uniform macron      :ū
victor              :v
whiskey             :w
whiskey circumflex  :ŵ
x-ray               :x
yankee              :y
yankee acute        :ý
yankee circumflex   :ŷ
yankee diaeresis    :ÿ
zulu                :z
zulu acute          :ź
zulu caron          :ž
zulu dot            :ż
thorn               :þ
